DoodleDate,Doodle
2/2/2015,Chen Cheng-po's 120th Birthday
2/5/2015,Gabriel Vargas’ 100th Birthday
2/11/2015,Zden?k Burian’s 110th Birthday
2/2/2015,110th Anniversary of first publication of Bécassine
2/3/2015,Setsubun 2015
2/7/2015,Laura Ingalls Wilder’s 148th Birthday
2/14/2015,Cricket World Cup Opening 2015
2/13/2015,Ivan Andreyevich Krylov’s 246th Birthday
2/14/2015,Valentine's Day 2015
1/1/2015,New Year's Day 2015
1/6/2015,Gaspar Henaine (Capulina)’s 89th Birthday
1/12/2015,11th Anniversary of Kimani Maruge's First Day of School
1/16/2015,Teacher's Day 2015 (Thailand)
1/6/2015,Holidays 2015 (Day 1 - Eastern Europe)
1/6/2015,Victor Horta’s 154th Birthday
1/10/2015,Children's Day 2015 (Thailand)
1/19/2015,"Martin Luther King, Jr. Day 2015"
1/20/2015,Ji Hyeonok’s 56th Birthday
1/25/2015,Youssef Chahine’s 89th Birthday
1/21/2015,Grandmother's Day 2015 (Poland)
1/22/2015,Grandfather's Day 2015 (Poland)
1/26/2015,Australia Day 2015
1/26/2015,India Republic Day 2015
1/30/2015,Vsevolod Nestayko’s 85th Birthday
1/31/2015,Concepción Arenal’s 195th Birthday
7/1/2015,Canada Day 2015
7/4/2015,Fourth of July 2015
2/15/2015,50th Anniversary of the Canadian Flag
2/15/2015,Cricket World Cup 2015 - India vs. Pakistan
2/17/2015,Carnival 2015
2/16/2015,Rosenmontag 2015
2/18/2015,Alessandro Volta’s 270th Birthday
2/24/2015,Rosalía de Castro’s 178th Birthday
2/19/2015,Lunar New Year 2015 (Vietnam)
2/26/2015,José Mauro de Vasconcelos’ 95th Birthday
2/19/2015,Lunar New Year 2015
8/25/2015,Uruguay Independence Day 2015
8/6/2015,Bolivia Independence Day 2015
8/6/2015,Jamaica Independence Day 2015
6/22/2015,Teacher's Day 2015 (El Salvador)
6/25/2015,Teacher's Day 2015 (Guatemala)
6/22/2015,Summer Solstice 2015 (Korea)
5/15/2015,Paraguay Independence Day 2015
5/26/2015,Georgia Independence Day 2015
5/25/2015,Jordan National Day 2015
5/5/2015,Children's Day 2015 (Korea)
